contig	tax_level	assignment	count_of_genes_assigned
k141_61663	kingdom	2 Bacteria	39
k141_61663	phylum	1239 Firmicutes	38
k141_61663	phylum	203691 Spirochaetes	1
k141_61663	family	186803 Lachnospiraceae	31
k141_61663	family	NA Firmicutes fam. incertae sedis	2
k141_61663	family	128827 Erysipelotrichaceae	2
k141_61663	family	31979 Clostridiaceae	1
k141_61663	family	NA Spirochaetales fam. incertae sedis	1
k141_61663	family	186806 Eubacteriaceae	1
k141_61663	family	541000 Ruminococcaceae	1
k141_61663	genus	28050 Lachnospira	19
k141_61663	genus	841 Roseburia	5
k141_61663	genus	NA Lachnospiraceae gen. incertae sedis	4
k141_61663	genus	NA Firmicutes gen. incertae sedis	2
k141_61663	genus	1929045 Traorella	2
k141_61663	genus	1485 Clostridium	1
k141_61663	genus	NA Spirochaetales gen. incertae sedis	1
k141_61663	genus	33042 Coprococcus	1
k141_61663	genus	1730 Eubacterium	1
k141_61663	genus	244127 Anaerotruncus	1
k141_61663	genus	189330 Dorea	1
k141_61663	genus	241189 Hespellia	1
k141_61663	species	specI_v3_02374	19
k141_61663	species	specI_v3_03702	2
k141_61663	species	specI_v3_07704	2
k141_61663	species	specI_v3_03657	2
k141_61663	species	specI_v3_10428	2
k141_61663	species	specI_v3_03692	1
k141_61663	species	specI_v3_09169	1
k141_61663	species	specI_v3_07718	1
k141_61663	species	specI_v3_00861	1
k141_61663	species	specI_v3_07680	1
k141_61663	species	specI_v3_00858	1
k141_61663	species	specI_v3_08199	1
k141_61663	species	specI_v3_11851	1
k141_61663	species	specI_v3_09026	1
k141_61663	species	specI_v3_08201	1
k141_61663	species	specI_v3_03608	1
k141_61663	species	specI_v3_06908	1
k141_62513	kingdom	2 Bacteria	40
k141_62513	phylum	1239 Firmicutes	40
k141_62513	family	186803 Lachnospiraceae	22
k141_62513	family	186806 Eubacteriaceae	11
k141_62513	family	31979 Clostridiaceae	5
k141_62513	family	541000 Ruminococcaceae	2
k141_62513	genus	28050 Lachnospira	11
k141_62513	genus	1730 Eubacterium	11
k141_62513	genus	1485 Clostridium	5
k141_62513	genus	841 Roseburia	3
k141_62513	genus	NA Lachnospiraceae gen. incertae sedis	3
k141_62513	genus	1263 Ruminococcus	2
k141_62513	genus	1506553 Lachnoclostridium	2
k141_62513	genus	248744 Marvinbryantia	1
k141_62513	genus	33042 Coprococcus	1
k141_62513	genus	830 Butyrivibrio	1
k141_62513	species	specI_v3_02374	6
k141_62513	species	specI_v3_07679	5
k141_62513	species	specI_v3_03832	5
k141_62513	species	specI_v3_02373	4
k141_62513	species	specI_v3_07641	3
k141_62513	species	specI_v3_03599	2
k141_62513	species	specI_v3_03702	1
k141_62513	species	specI_v3_07677	1
k141_62513	species	specI_v3_03442	1
k141_62513	species	specI_v3_01833	1
k141_62513	species	specI_v3_07706	1
k141_62513	species	specI_v3_07634	1
k141_62513	species	specI_v3_03690	1
k141_62513	species	specI_v3_00860	1
k141_62513	species	specI_v3_03608	1
k141_62513	species	specI_v3_01595	1
k141_62513	species	specI_v3_05221	1
k141_62513	species	specI_v3_02375	1
k141_62513	species	specI_v3_04246	1
