file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	Q20(%)	Q30(%)	GC(%)
k141_1083	FASTA	DNA	1	16220	16220	16220.0	16220	8110.0	16220.0	8110.0	0	16220	0.00	0.00	37.86
k141_109313	FASTA	DNA	1	84873	84873	84873.0	84873	42436.5	84873.0	42436.5	0	84873	0.00	0.00	36.80
k141_110554	FASTA	DNA	1	11737	11737	11737.0	11737	5868.5	11737.0	5868.5	0	11737	0.00	0.00	37.33
k141_110941	FASTA	DNA	1	104897	104897	104897.0	104897	52448.5	104897.0	52448.5	0	104897	0.00	0.00	36.44
k141_115403	FASTA	DNA	1	70509	70509	70509.0	70509	35254.5	70509.0	35254.5	0	70509	0.00	0.00	37.95
k141_118982	FASTA	DNA	1	1576	1576	1576.0	1576	788.0	1576.0	788.0	0	1576	0.00	0.00	36.17
k141_119797	FASTA	DNA	1	12950	12950	12950.0	12950	6475.0	12950.0	6475.0	0	12950	0.00	0.00	37.65
k141_125295	FASTA	DNA	1	44373	44373	44373.0	44373	22186.5	44373.0	22186.5	0	44373	0.00	0.00	36.23
k141_126244	FASTA	DNA	1	63270	63270	63270.0	63270	31635.0	63270.0	31635.0	0	63270	0.00	0.00	35.92
k141_126557	FASTA	DNA	1	66346	66346	66346.0	66346	33173.0	66346.0	33173.0	0	66346	0.00	0.00	37.70
k141_134709	FASTA	DNA	1	29379	29379	29379.0	29379	14689.5	29379.0	14689.5	0	29379	0.00	0.00	36.75
k141_134980	FASTA	DNA	1	14232	14232	14232.0	14232	7116.0	14232.0	7116.0	0	14232	0.00	0.00	40.11
k141_142061	FASTA	DNA	1	27221	27221	27221.0	27221	13610.5	27221.0	13610.5	0	27221	0.00	0.00	37.82
k141_156707	FASTA	DNA	1	19956	19956	19956.0	19956	9978.0	19956.0	9978.0	0	19956	0.00	0.00	36.72
k141_157392	FASTA	DNA	1	2382	2382	2382.0	2382	1191.0	2382.0	1191.0	0	2382	0.00	0.00	37.99
k141_161896	FASTA	DNA	1	50563	50563	50563.0	50563	25281.5	50563.0	25281.5	0	50563	0.00	0.00	35.47
k141_162286	FASTA	DNA	1	33768	33768	33768.0	33768	16884.0	33768.0	16884.0	0	33768	0.00	0.00	37.36
k141_164846	FASTA	DNA	1	47442	47442	47442.0	47442	23721.0	47442.0	23721.0	0	47442	0.00	0.00	36.80
k141_165016	FASTA	DNA	1	7600	7600	7600.0	7600	3800.0	7600.0	3800.0	0	7600	0.00	0.00	35.83
k141_169831	FASTA	DNA	1	24153	24153	24153.0	24153	12076.5	24153.0	12076.5	0	24153	0.00	0.00	36.91
k141_170130	FASTA	DNA	1	23480	23480	23480.0	23480	11740.0	23480.0	11740.0	0	23480	0.00	0.00	38.68
k141_173935	FASTA	DNA	1	247762	247762	247762.0	247762	123881.0	247762.0	123881.0	0	247762	0.00	0.00	36.00
k141_174816	FASTA	DNA	1	121643	121643	121643.0	121643	60821.5	121643.0	60821.5	0	121643	0.00	0.00	38.58
k141_18190	FASTA	DNA	1	90426	90426	90426.0	90426	45213.0	90426.0	45213.0	0	90426	0.00	0.00	38.89
k141_20104	FASTA	DNA	1	70765	70765	70765.0	70765	35382.5	70765.0	35382.5	0	70765	0.00	0.00	36.25
k141_20842	FASTA	DNA	1	18932	18932	18932.0	18932	9466.0	18932.0	9466.0	0	18932	0.00	0.00	35.04
k141_22096	FASTA	DNA	1	56304	56304	56304.0	56304	28152.0	56304.0	28152.0	0	56304	0.00	0.00	36.74
k141_22172	FASTA	DNA	1	14568	14568	14568.0	14568	7284.0	14568.0	7284.0	0	14568	0.00	0.00	38.27
k141_22526	FASTA	DNA	1	81537	81537	81537.0	81537	40768.5	81537.0	40768.5	0	81537	0.00	0.00	37.08
k141_22843	FASTA	DNA	1	60231	60231	60231.0	60231	30115.5	60231.0	30115.5	0	60231	0.00	0.00	38.24
k141_23465	FASTA	DNA	1	16554	16554	16554.0	16554	8277.0	16554.0	8277.0	0	16554	0.00	0.00	37.71
k141_23511	FASTA	DNA	1	13748	13748	13748.0	13748	6874.0	13748.0	6874.0	0	13748	0.00	0.00	36.93
k141_40315	FASTA	DNA	1	165879	165879	165879.0	165879	82939.5	165879.0	82939.5	0	165879	0.00	0.00	36.81
k141_41156	FASTA	DNA	1	47342	47342	47342.0	47342	23671.0	47342.0	23671.0	0	47342	0.00	0.00	36.36
k141_48433	FASTA	DNA	1	182922	182922	182922.0	182922	91461.0	182922.0	91461.0	0	182922	0.00	0.00	35.95
