contig_name	contig_len	contig_cov
k141_61663	36950	78.1998
k141_169831	24153	76.4355
k141_92837	170140	74.6334
k141_170130	23480	92.8468
k141_93122	66961	81.5953
k141_78103	117878	85.6456
k141_1083	16220	83.1408
k141_62513	41608	78.2192
k141_62539	3996	77.1308
k141_93920	121386	92.7248
k141_109313	84873	80.2028
k141_63312	65093	90.6415
k141_63441	50864	79.4201
k141_125295	44373	66.3446
k141_110554	11737	87.1207
k141_156707	19956	79.8402
k141_126244	63270	91.5592
k141_48433	182922	90.3832
k141_18190	90426	94.302
k141_142061	27221	95.4225
k141_126557	66346	88.623
k141_110941	104897	85.4775
k141_157392	2382	124.847
k141_96390	72197	91.5615
k141_49829	200478	79.6329
k141_4874	72607	79.5321
k141_173935	247762	83.665
k141_20104	70765	87.1594
k141_20842	18932	79.1384
k141_51092	94805	84.2607
k141_6245	294718	74.8819
k141_51532	91636	74.4335
k141_51559	6442	95.0388
k141_174816	121643	78.7979
k141_115403	70509	92.1361
k141_22096	56304	75.3637
k141_22172	14568	93.3484
k141_83967	9054	80.0209
k141_22526	81537	92.1876
k141_161896	50563	80.5169
k141_22843	60231	79.2603
k141_162286	33768	109.694
k141_23465	16554	76.8576
k141_23511	13748	82.0208
k141_40315	165879	77.3422
k141_85190	252629	85.4646
k141_69850	52441	83.1808
k141_85464	51994	90.4298
k141_41156	47342	91.322
k141_70941	33518	73.1107
k141_118982	1576	85.2062
k141_164846	47442	77.7553
k141_165016	7600	75.5585
k141_134709	29379	85.5102
k141_119797	12950	95.2158
k141_134980	14232	90.5434
k141_58683	85531	77.2291
k141_90251	71686	87.2356
k141_74799	191459	92.7303
